Accuracy,Epsilon
0.48106904231625836,0.01
0.48329621380846327,0.01
0.49888641425389757,0.01
0.48552338530066813,0.01
0.48106904231625836,0.01
0.49665924276169265,0.01
0.5055679287305123,0.01
0.47438752783964366,0.01
0.46993318485523383,0.01
0.5055679287305123,0.01
0.49665924276169265,0.01
0.5033407572383074,0.01
0.4766146993318486,0.01
0.49443207126948774,0.01
0.44543429844098,0.01
0.49888641425389757,0.01
0.48997772828507796,0.01
0.532293986636971,0.01
0.5100222717149221,0.01
0.4521158129175947,0.01
0.5590200445434298,0.01
0.5233853006681515,0.01
0.5256124721603563,0.01
0.5278396436525612,0.01
0.5100222717149221,0.01
0.4766146993318486,0.01
0.5100222717149221,0.01
0.5144766146993318,0.01
0.46993318485523383,0.01
0.47438752783964366,0.01
0.49443207126948774,0.01
0.46993318485523383,0.01
0.4922048997772829,0.01
0.47216035634743875,0.01
0.5567928730512249,0.01
0.49443207126948774,0.01
0.5211581291759465,0.01
0.5300668151447662,0.01
0.48552338530066813,0.01
0.5077951002227171,0.01
0.5434298440979956,0.01
0.5412026726057907,0.01
0.5077951002227171,0.01
0.46325167037861914,0.01
0.5211581291759465,0.1
0.5679287305122495,0.1
